2017/2/28,Tuesday,13:33:56,QUIZ1,16,1,0
2017/2/28,Tuesday,13:34:33,QUIZ2,8,0,0
2017/2/28,Tuesday,13:38:29,TOP,0,OSUSUME,0
2017/2/28,Tuesday,13:38:35,OSUSUME1,1,1,0
2017/2/28,Tuesday,13:38:36,OSUSUME2,3,0,0
2017/2/28,Tuesday,13:38:38,OSUSUME3,8,1,11
2017/2/28,Tuesday,13:39:8,TOP,0,QUIZ,0
2017/2/28,Tuesday,13:39:42,QUIZ1,24,0,0
2017/2/28,Tuesday,13:40:13,QUIZ2,18,0,0
2017/2/28,Tuesday,13:40:53,QUIZ3,3,0,0
2017/2/28,Tuesday,13:41:14,TOP,0,OSUSUME,0
2017/2/28,Tuesday,13:41:19,OSUSUME1,1,1,0
2017/2/28,Tuesday,13:41:20,OSUSUME2,3,0,0
2017/2/28,Tuesday,13:41:22,OSUSUME3,8,0,10
2017/2/28,Tuesday,13:41:31,TOP,0,QUIZ,0
2017/2/28,Tuesday,13:42:8,QUIZ1,11,1,1
2017/2/28,Tuesday,13:42:46,TOP,0,QUIZ,0
2017/2/28,Tuesday,13:43:26,QUIZ1,11,1,1
2017/2/28,Tuesday,13:44:1,QUIZ2,19,1,0
2017/2/28,Tuesday,13:44:44,QUIZ3,27,1,0
2017/2/28,Tuesday,13:45:12,TOP,0,QUIZ,0
2017/2/28,Tuesday,13:46:31,TOP,0,QUIZ,0
2017/2/28,Tuesday,13:47:4,QUIZ1,1,1,0
2017/2/28,Tuesday,13:47:6,QUIZ2,2,1,1
2017/2/28,Tuesday,13:47:8,QUIZ3,3,1,0
2017/2/28,Tuesday,13:47:9,QUIZ4,4,1,0
2017/2/28,Tuesday,13:47:11,QUIZ5,5,1,1
2017/2/28,Tuesday,13:47:12,QUIZ6,6,1,0
2017/2/28,Tuesday,13:47:14,QUIZ7,7,1,0
2017/2/28,Tuesday,13:47:15,QUIZ8,8,1,1
2017/2/28,Tuesday,13:47:17,QUIZ9,9,1,0
2017/2/28,Tuesday,13:47:19,QUIZ10,10,1,0
2017/2/28,Tuesday,13:47:20,QUIZ11,11,1,1
2017/2/28,Tuesday,13:47:22,QUIZ12,12,1,0
2017/2/28,Tuesday,13:47:24,QUIZ13,13,1,0
2017/2/28,Tuesday,13:47:25,QUIZ14,14,1,1
2017/2/28,Tuesday,13:47:27,QUIZ15,15,1,0
2017/2/28,Tuesday,13:47:28,QUIZ16,16,1,0
2017/2/28,Tuesday,13:47:30,QUIZ17,17,1,1
2017/2/28,Tuesday,13:47:32,QUIZ18,18,1,0
2017/2/28,Tuesday,13:47:33,QUIZ19,19,1,0
2017/2/28,Tuesday,13:47:35,QUIZ20,20,1,1
2017/2/28,Tuesday,13:47:37,QUIZ21,21,1,0
2017/2/28,Tuesday,13:47:38,QUIZ22,22,1,0
2017/2/28,Tuesday,13:47:40,QUIZ23,23,1,1
2017/2/28,Tuesday,13:47:41,QUIZ24,24,1,0
2017/2/28,Tuesday,13:47:43,QUIZ25,25,1,0
2017/2/28,Tuesday,13:47:44,QUIZ26,26,1,1
2017/2/28,Tuesday,13:47:45,QUIZ27,27,1,0
2017/2/28,Tuesday,13:47:46,TOP,0,QUIZ,0
2017/2/28,Tuesday,13:47:57,QUIZ1,1,1,0
2017/2/28,Tuesday,13:48:1,QUIZ2,2,1,1
2017/2/28,Tuesday,13:48:7,QUIZ3,3,1,0
2017/2/28,Tuesday,14:0:55,TOP,0,QUIZ,0
2017/2/28,Tuesday,14:1:8,QUIZ1,1,0,1
